Symbol,url
CAG,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/cag-2019x10k.htm
COP,https://www.sec.gov/Archives/edgar/data/1163165/000119312520039954/d875559d10k.htm
ED,https://www.sec.gov/Archives/edgar/data/23632/000104786220000041/ed-20191231x10k.htm
STZ,https://www.sec.gov/Archives/edgar/data/16918/000001691819000024/stz228201910k.htm
COO,https://www.sec.gov/Archives/edgar/data/711404/000071140419000051/coo20191031-10k.htm
CPRT,https://www.sec.gov/Archives/edgar/data/900075/000090007519000022/cprt07312019-10k.htm
GLW,https://www.sec.gov/Archives/edgar/data/24741/000002474120000014/glw-20191231x10k.htm
CTVA,https://www.sec.gov/Archives/edgar/data/30554/000175567220000006/ctva-12x31x201910xk.htm
COST,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/cost10k9119.htm
CCI,https://www.sec.gov/Archives/edgar/data/1051470/000105147019000046/cci10-k123118.htm
CSX,https://www.sec.gov/Archives/edgar/data/277948/000027794820000008/csx-12312019x10k.htm
CMI,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/cmi201910-kdocument.htm
CVS,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/a2019form10-k.htm
DHI,https://www.sec.gov/Archives/edgar/data/882184/000088218419000147/a2019930-10k.htm
DHR,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/dhr-20191231x10xk.htm
DRI,https://www.sec.gov/Archives/edgar/data/940944/000094094419000025/dri-201910xk.htm
DVA,https://www.sec.gov/Archives/edgar/data/927066/000092706620000014/dva-12311910k.htm
DE,https://www.sec.gov/Archives/edgar/data/315189/000155837019011614/de-20191103x10k.htm
DAL,https://www.sec.gov/Archives/edgar/data/27904/000002790420000004/dal-20191231.htm
XRAY,https://www.sec.gov/Archives/edgar/data/818479/000081847919000010/xray-20181231.htm
DVN,https://www.sec.gov/Archives/edgar/data/1090012/000156459020005182/dvn-10k_20191231.htm
DXCM,https://www.sec.gov/Archives/edgar/data/1093557/000109355720000029/dxcm-12312019x10kasof1.htm
FANG,https://www.sec.gov/Archives/edgar/data/1539838/000153983820000021/diamondback201910-k.htm
DLR,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/dlrq412311810kss.htm
DFS,https://www.sec.gov/Archives/edgar/data/1393612/000139361220000009/dfs1231201910k.htm
DISCA,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/disca-2019123110kq4.htm
DISCK,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/disca-2019123110kq4.htm
DISH,https://www.sec.gov/Archives/edgar/data/1001082/000155837020000945/dish-20191231x10kce7e53.htm
DG,https://www.sec.gov/Archives/edgar/data/29534/000155837019002383/dg-20190201x10k.htm
DLTR,https://www.sec.gov/Archives/edgar/data/935703/000093570319000024/dltr-2019x02x02x10k.htm
D,https://www.sec.gov/Archives/edgar/data/103682/000119312520054469/d854390d10k.htm
DPZ,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/d796357d10k.htm
DOV,https://www.sec.gov/Archives/edgar/data/29905/000002990520000011/dov-20191231.htm
DOW,https://www.sec.gov/Archives/edgar/data/29915/000175178820000007/dowinc201910k.htm
DTE,https://www.sec.gov/Archives/edgar/data/28385/000093634020000127/dteenergy2019123110k.htm
DUK,https://www.sec.gov/Archives/edgar/data/17797/000132616020000034/duk-20191231x10k.htm
DRE,https://www.sec.gov/Archives/edgar/data/783280/000078328020000010/a10k2019.htm
DD,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/dupont201910-k.htm
DXC,https://www.sec.gov/Archives/edgar/data/1688568/000168856819000055/dxcfy1910-k.htm
EMN,https://www.sec.gov/Archives/edgar/data/915389/000091538920000016/emn2019123110k.htm
ETN,https://www.sec.gov/Archives/edgar/data/1551182/000155118220000050/etn12312019form10-k.htm
EBAY,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/ebay201910-k.htm
ECL,https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/ecl-20191231x10k145b24.htm
EIX,https://www.sec.gov/Archives/edgar/data/92103/000082705220000026/eix-sceq4201910k.htm
EW,https://www.sec.gov/Archives/edgar/data/1099800/000109980020000005/ew10-kq42019.htm
EA,https://www.sec.gov/Archives/edgar/data/712515/000071251519000019/ea3312019-q410kdoc.htm
EMR,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/emr-09302019x10xk.htm
ENPH,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/a2019q410-kdoc.htm
ETR,https://www.sec.gov/Archives/edgar/data/7323/000006598420000069/etr-12312019x10k.htm
EOG,https://www.sec.gov/Archives/edgar/data/821189/000082118920000010/a2019123110-k.htm
EFX,https://www.sec.gov/Archives/edgar/data/33185/000003318520000011/efx-20191231.htm
EQIX,https://www.sec.gov/Archives/edgar/data/1101239/000162828020001947/eqix2019123110k.htm
EQR,https://www.sec.gov/Archives/edgar/data/906107/000156459020005562/eqr-10k_20191231.htm
ESS,https://www.sec.gov/Archives/edgar/data/920522/000092052220000026/ess-123119x10k.htm
EL,https://www.sec.gov/Archives/edgar/data/1001250/000110465919047085/a19-11548_110k.htm
ETSY,https://www.sec.gov/Archives/edgar/data/1370637/000137063720000046/etsy1231201910k.htm
EVRG,https://www.sec.gov/Archives/edgar/data/54476/000171126919000013/evrg-12312018x10k.htm
ES,https://www.sec.gov/Archives/edgar/data/13372/000007274120000008/a201910kdocument.htm
RE,https://www.sec.gov/Archives/edgar/data/1095073/000109507319000011/group10k2018.htm
EXC,https://www.sec.gov/Archives/edgar/data/8192/000110935720000053/exc-20191231x10k.htm
EXPE,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000009/q42019-10k.htm
EXPD,https://www.sec.gov/Archives/edgar/data/746515/000156459020005719/expd-10k_20191231.htm
EXR,https://www.sec.gov/Archives/edgar/data/1289490/000162828020002202/q4201910kexrdocument.htm
XOM,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/xom10k2019.htm
FFIV,https://www.sec.gov/Archives/edgar/data/1048695/000104869519000034/ffiv10k9-30x2019.htm
FB,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm
FAST,https://www.sec.gov/Archives/edgar/data/815556/000081555620000011/fast1231201910-k.htm
FRT,https://www.sec.gov/Archives/edgar/data/34903/000003490320000008/frt-1231201910k.htm
FDX,https://www.sec.gov/Archives/edgar/data/1048911/000119312519222475/d782708d10ka.htm
FIS,https://www.sec.gov/Archives/edgar/data/1136893/000113689320000032/a10-k2019.htm
FITB,https://www.sec.gov/Archives/edgar/data/35527/000119312519059441/d680668d10k.htm
FE,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000008/fe-12312019x10k.htm
FISV,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/fisv1231201910-k.htm
FLT,https://www.sec.gov/Archives/edgar/data/1175454/000117545419000004/flt_10-kx12312018.htm
FLIR,https://www.sec.gov/Archives/edgar/data/354908/000035490820000010/flir-12312019x10k.htm
FMC,https://www.sec.gov/Archives/edgar/data/37785/000003778520000035/fmc-20191231.htm
F,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/f1231201910-k.htm
