,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt
3157,179666,92984.0,2019-12-31,2019.0,LOGM,7370.0,737.0,307.144,1.0,4164.649,8.257385,7.1391726,1.0,0.0,1.0,1.0,0.0,1.6042243,5.294224,3.9094176,0.023389542,-0.005343365,0.016741974,0.0,-0.05793936,-0.007949695,0.09272751,0.07965359,0.06868476,1.3692796,0.08849462,0.051396046,0.033196345,0.041623216,0.07486365,1.1380106,,0.016741974,0.060134657
3158,179671,13262.0,2019-12-31,2019.0,CCXI,2836.0,283.0,21.855,1.0,2382.2942,5.3427315,3.587068,0.0,0.0,1.0,0.0,1.0,0.07881118,1.5806268,3.8511848,0.059909225,0.05821133,0.0,0.0,0.45350412,0.1263374,-0.33538356,0.10452787,0.0090905335,12.078348,-0.27622044,0.018452002,0.8263991,0.33611533,0.09733933,10.867315,,0.0,0.06877145
3159,179686,12413.0,2019-12-31,2019.0,ZGNX,2834.0,283.0,12.074,1.0,2360.0293,6.0264697,1.2941791,0.0,0.0,1.0,0.0,1.0,0.13190506,2.9013116,4.8037887,-0.1765142,-0.015410983,0.0,0.0,0.12556186,-0.033289075,-0.31748703,0.02914665,0.005089998,6.105541,-0.4140374,0.04151599,0.6666385,0.8861243,0.025955342,5.408099,,0.0,0.10949147
3160,179690,18183.0,2019-12-31,2019.0,SWI,7372.0,737.0,2020.483,1.0,5718.7793,8.577487,6.837896,0.0,0.0,0.3222077,1.0,0.0,1.4471543,4.8657637,3.6790652,0.09084474,-0.039400898,0.0,-0.0037471224,-0.0010778155,-0.0024254613,0.056268785,0.38045213,0.2610692,1.5779338,0.07656463,0.024247082,0.03264553,0.0207809,0.3740513,1.433537,,0.0,0.016824195
3161,179738,92753.0,2019-12-31,2019.0,ERII,3559.0,355.0,12.556,1.0,541.01495,5.2405505,4.4652414,0.0,0.0,0.10957898,0.0,1.0,0.17227122,3.4352124,5.0737767,0.036450993,0.023043428,0.0,0.0,0.031588037,0.093741715,0.027906386,0.0665134,0.022681825,3.145433,0.078183435,0.15912148,0.45092544,0.12396834,0.061094217,2.9053822,,0.0,0.081475
3162,179817,16158.0,2019-12-31,2019.0,VRS,2621.0,262.0,21.0,1.0,625.71313,7.4506607,7.801391,0.0,0.0,0.0,0.0,1.0,1.5475625,6.8669333,5.557558,0.060429983,0.00929692,0.0,-0.0005810575,-0.0017431725,0.009877978,0.07205113,0.012202208,0.032471895,0.77496403,0.11737362,0.55723417,0.024404416,0.0,0.006391633,0.37494987,,0.0,0.47619048
3163,179819,92635.0,2019-10-31,2019.0,NX,3442.0,344.0,157.16,1.0,636.9944,6.469421,6.795528,1.0,0.0,1.0,0.0,1.0,1.5329888,5.270946,3.9760108,0.036519352,0.0028909799,0.016499512,-0.08374696,-0.010221512,-0.01659097,0.14987832,0.24361737,0.19789603,1.4755893,0.1591403,0.30010387,0.047849204,0.0,0.24246098,1.1991682,,0.016499512,0.0047467547
3164,179834,14797.0,2019-12-31,2019.0,CDNA,2835.0,283.0,,,916.6819,5.022142,4.8447223,0.0,0.0,1.0,1.0,0.0,0.3264219,2.3184586,3.166764,0.1488045,-0.17351848,0.0,-0.0011335477,0.0017464543,0.061672904,-0.025326883,,,6.3888454,-0.120571256,0.06036801,0.25190464,0.20239758,,,,0.0,
3165,179840,12577.0,2019-12-31,2019.0,FLDM,3826.0,382.0,59.977,1.0,243.44688,5.57902,4.764249,0.0,0.0,1.0,0.0,1.0,0.4485246,2.6330392,3.127628,0.14841095,-0.27062595,0.0,0.011985862,0.0080547705,0.059498813,-0.14225565,0.226489,0.19766738,1.3392402,-0.13440101,0.048774224,0.22549583,0.11948099,0.21956709,1.060654,,0.0,0.030561715
3166,179841,93345.0,2019-12-31,2019.0,CDXS,2836.0,283.0,26.118,1.0,941.44324,5.004436,4.2262206,0.0,0.0,1.0,1.0,0.0,0.1492817,3.4463937,5.240366,0.02458527,0.25313774,0.0,-0.0016233657,0.36390895,0.08516633,-0.0845626,0.17520276,0.02699364,6.607496,-0.07364848,0.20383973,0.61150575,0.22722425,0.16737437,,,0.0,0.04468183
3167,179843,92621.0,2019-12-31,2019.0,IPI,1400.0,140.0,75.782,1.0,351.09134,6.360333,5.3939686,0.0,0.0,0.0038731366,0.0,1.0,0.36810932,5.9388785,6.7459207,0.13941142,-0.021549378,0.0,0.034259446,-0.0008972424,0.013244266,0.08449983,0.13101122,0.17752807,0.8555342,0.08929031,0.65436286,0.035877593,0.0,0.058395095,0.73560876,,0.0,0.55427414
3168,179929,17904.0,2019-12-31,2019.0,TMDI,3845.0,384.0,0.037,1.0,,1.4786456,,0.0,,1.0,0.0,1.0,0.0099503305,0.038258713,1.3609766,0.13540004,-0.8689154,0.0,-0.0013676772,1.5439129,-0.37192515,-1.8941487,0.00843401,,,-2.2072048,0.008889902,0.24093914,1.2496222,0.002279462,,,0.0,0.7297297
