,tic,url,supply_chain_risk,regulatory_risk,inflationary_risk,macro_risk,debt_risk,liquidity_risk,doctype,gvkey,lpermno,datadate,fyear,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt,_merge
191,FLIR,https://www.sec.gov/Archives/edgar/data/354908/000035490820000010/flir-12312019x10k.htm,7.0,5.0,1.0,6.0,3.0,2.0,Risk Section,28477.0,79265.0,2019-12-31,2019.0,3812.0,381.0,676.863,1.0,6997.8955,8.051194,7.5427575,1.0,0.0,0.29067528,1.0,0.0,1.6610812,5.678068,4.2242,0.20761035,-0.07252558,0.029224798,0.08121966,-0.034604486,0.0013679502,0.1176944,0.2157304,0.088193394,2.633911,0.14107895,0.09287018,0.090705425,0.065085046,0.20666471,2.4393632,,0.029224798,0.042023275,both
192,FMC,https://www.sec.gov/Archives/edgar/data/37785/000003778520000035/fmc-20191231.htm,6.0,8.0,1.0,4.0,2.0,1.0,Risk Section,4510.0,19166.0,2019-12-31,2019.0,2870.0,287.0,3453.5,1.0,12889.157,9.197529,8.43594,1.0,0.0,0.17095983,1.0,0.0,2.00148,6.8283873,4.9710064,0.018910734,0.017968742,0.021301163,0.059375856,-0.03702128,0.052113403,0.03582607,0.349803,0.21131815,2.04904,0.12182078,0.09345974,0.03434724,0.030194374,0.32354876,1.6381398,,0.021301163,0.075054295,both
193,F,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/f1231201910-k.htm,6.0,7.0,0.0,8.0,3.0,3.0,Risk Section,4839.0,25785.0,2019-12-31,2019.0,3711.0,371.0,156721.0,1.0,36873.848,12.462794,11.95697,1.0,0.0,0.0,1.0,0.0,5.2522736,10.709606,5.867124,0.053071707,0.003225844,0.009240457,-0.0010714134,-0.0009166966,-0.023122415,0.06752612,0.606184,0.80953085,1.0142682,0.059782546,0.25959146,0.13402724,0.028622596,0.39610577,0.7471681,,0.009240457,0.34655854,both
194,FTNT,https://www.sec.gov/Archives/edgar/data/1262039/000126203920000011/ftnt-201910xk.htm,7.0,11.0,0.0,14.0,2.0,2.0,Risk Section,183377.0,93132.0,2019-12-31,2019.0,3577.0,357.0,46.1,1.0,18330.691,8.265007,7.6761026,0.0,0.0,0.1389768,1.0,0.0,2.0896394,5.965121,4.0049944,0.12927552,0.02833612,0.0,-0.0009522584,-0.049311545,-0.030909792,0.20787543,0.011864625,0.0025085988,5.377504,0.10443959,0.10001287,0.5316176,0.071316436,0.007875434,4.709062,,0.0,0.3362256,both
195,FTV,https://www.sec.gov/Archives/edgar/data/1659166/000165916620000071/a20191231-10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section,26590.0,16087.0,2019-12-31,2019.0,3829.0,382.0,6542.3,1.0,25667.04,9.766464,8.898366,1.0,0.0,0.17049743,1.0,0.0,3.2580965,6.5893393,3.3690872,0.23250186,0.0015367853,0.009335398,0.1693159,0.0,-0.006410918,0.074058145,0.3751534,0.2031181,2.0482275,0.09362349,0.04164803,0.06910947,0.026188428,0.28599116,,,0.009335398,0.23766872,both
196,FBHS,https://www.sec.gov/Archives/edgar/data/1519751/000156459020006812/fbhs-10k_20191231.htm,4.0,1.0,3.0,4.0,1.0,0.0,Risk Section,188255.0,12981.0,2019-12-31,2019.0,2430.0,243.0,2357.2,1.0,9118.523,8.746923,8.659491,1.0,0.0,0.25004342,,,3.246491,6.898513,3.6906996,0.020281976,0.019741548,0.019550808,-0.023953713,-0.014527999,0.017579833,0.09805605,0.37467614,0.20540753,2.063679,0.14540716,0.15732837,0.061799627,0.007661374,0.30588272,1.8026586,,0.019550808,0.18360767,both
197,FOXA,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/fox-10k_20190630.htm,1.0,1.0,0.0,1.0,0.0,0.0,Risk Section,34636.0,18420.0,2019-06-30,2019.0,4833.0,483.0,6751.0,1.0,22738.637,9.878632,9.340404,1.0,0.0,0.2670037,,,2.163323,7.1808314,5.1388497,0.032651596,0.037623663,0.009636578,0.34599414,0.0,0.37264314,-0.26608232,0.3460454,0.22892788,1.6556787,0.13829514,0.06730227,0.16576965,0.0,0.3460454,1.5131879,,0.009636578,0.0,both
198,FOX,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/fox-10k_20190630.htm,1.0,1.0,0.0,1.0,0.0,0.0,Risk Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
199,BEN,https://www.sec.gov/Archives/edgar/data/38777/000003877719000186/form10k93019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
200,FCX,https://www.sec.gov/Archives/edgar/data/831259/000083125920000004/a2019form10-k.htm,5.0,11.0,1.0,5.0,2.0,0.0,Risk Section,14590.0,81774.0,2019-12-31,2019.0,1000.0,100.0,10074.0,1.0,19037.12,10.616658,9.586582,1.0,0.0,1.0,0.0,1.0,3.349904,10.295023,6.980803,0.05153275,-0.053346075,0.00713078,-0.0322968,0.0,-0.009850768,0.037614252,0.24685732,0.34605333,1.2386513,0.061800092,0.72493815,0.051949326,0.0,0.2456566,0.610187,,0.00713078,0.0048640063,both
